Project Name:,Contract Type:,Contract Method:,Community:,Originating Department:,Awarded To:,Award Date:,Award Value:
Specialized Residential Care,Consulting,Public Request for Proposals,Arviat,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$278,785.70"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Sanikiluaq,Family Services,I Have a Chance Support Services Ltd.,01 April 2016,"$279,360.82"
Specialized Residential Care,Service Contract,Extension,Sanikiluaq,Family Services,I Have a Chance Support Services Ltd.,01 April 2013,"$279,510.00"
Residential Care,Service Contract,Public Request for Proposals,Sanikiluaq,Family Services,I Have a Chance Support Services Ltd.,01 April 2014,"$279,660.00"
Residential Care,Service Contract,Sole Source,Gjoa Haven,Family Services,Bairn Croft Residential Services Inc.,01 April 2020,"$280,238.30"
Residential Care,Consulting,Public Request for Proposals,Baker Lake,Family Services,5788847 Manitoba Inc.,01 April 2019,"$281,820.00"
Specialized Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2013,"$283,831.00"
Residential Care,Service Contract,Public Request for Proposals,Resolute Bay,Family Services,Protegra Inc.,01 April 2014,"$284,797.00"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Bairn Croft Residential Services Inc.,01 April 2020,"$285,348.60"
Residential Care,Consulting,Sole Source,Cambridge Bay,Family Services,I Have a Chance Support Services Ltd.,01 April 2018,"$285,604.60"
Specialized Residential Care,Service Contract,Extension,Resolute Bay,Family Services,Protegra Inc.,01 April 2013,"$285,947.00"
Residential Care,Service Contract,Sole Source,Resolute Bay,Family Services,Protegra Inc.,01 April 2015,"$287,030.00"
"Residential Care, Adult Group Home",Service Contract,Extension,Iqaluit,Family Services,Ivik Enterprises Ltd.,01 April 2014,"$287,378.00"
Residential Care,Service Contract,Public Request for Proposals,Kinngait,Family Services,Protegra Inc.,01 April 2014,"$288,321.00"
Residential Care,Service Contract,Extension,Iqaluit,Family Services,Ivik Enterprises Ltd.,01 April 2014,"$288,558.24"
Specialized Foster Care,Consulting,Public Request for Proposals,Kugluktuk,Family Services,Sinclair Children's Residence Inc.,01 April 2017,"$288,800.00"
Residential Care,Service Contract,Sole Source,Kitikmeot Region,Family Services,Sinclair Children's Residence Inc.,01 April 2018,"$288,800.00"
"Residential Care, Adult Group Home",Service Contract,Extension,Iqaluit,Family Services,Ivik Enterprises Ltd.,01 April 2014,"$288,957.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Parkland Community Living and Support Service,01 April 2014,"$289,964.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,06 June 2016,"$290,015.42"
Specialized Residential Care,Service Contract,Extension,Chesterfield Inlet,Family Services,Community Living Alternative Services Ltd.,01 April 2013,"$291,978.00"
Specialized Residential Care,Consulting,Sole Source,Rankin Inlet,Family Services,Municipality of Rankin Inlet,17 September 2015,"$292,404.31"
Residential Care,Service Contract,Public Request for Proposals,Sanikiluaq,Family Services,I Have A Chance Support Services Ltd.,01 April 2020,"$293,135.10"
Residential Care,Service Contract,Sole Source,Sanikiluaq,Family Services,I Have a Chance Support Services Ltd.,01 April 2015,"$293,528.00"
Residential Care,Service Contract,Sole Source,Sanikiluaq,Family Services,I Have a Chance Support Services Ltd.,15 March 2019,"$295,054.84"
Residential Care,Service Contract,Public Request for Proposals,Baker Lake,Family Services,5788847 Manitoba Inc. o/a Gloria's Place,01 April 2020,"$295,650.00"
Children's Group Home,Service Contract,Extension,Iqaluit,Family Services,Ivik Enterprises Ltd.,01 April 2014,"$295,772.76"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,01 April 2020,"$296,885.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Ever Bright Complex Needs Support Services,15 August 2019,"$297,230.00"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Municipality of Rankin Inlet,01 April 2014,"$297,630.00"
Residential Care,Service Contract,Sole Source,Kugaaruk,Family Services,Ever Bright Complex Needs Support Services,11 October 2019,"$299,430.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Alliance Youth Services Inc.,01 April 2018,"$301,354.95"
Adult Group Home,Consulting,Extension,Iqaluit,Family Services,Ivik Enterprises Ltd.,01 April 2016,"$301,584.00"
Residential Care,Consulting,Public Request for Proposals,Kugluktuk,Family Services,March of Dimes Canada,01 April 2016,"$302,288.00"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,March of Dimes Canada,01 April 2015,"$304,044.00"
Residential Care,Consulting,Public Request for Proposals,Coral Harbour,Family Services,Bairn Croft Residential Services Inc.,29 March 2019,"$305,443.60"
Residential Care,Service Contract,Sole Source,Baker Lake,Family Services,Broken Arrow Residential Treatment Services,01 April 2018,"$307,000.00"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,Bairn Croft Residential Services Inc.,01 April 2020,"$307,809.50"
Residential Care,Consulting,Public Request for Proposals,Gjoa Haven,Family Services,Bairn Croft Residential Services Inc.,01 April 2019,"$307,984.08"
Residential Care,Service Contract,Sole Source,Qikiqtaaluk Region,Family Services,Sinclair Children's Residence Inc.,01 April 2018,"$308,151.30"
Residential Care,Service Contract,Public Request for Proposals,Baker Lake,Family Services,I Have A Chance Support Services Ltd.,01 April 2020,"$309,257.15"
Residential Care,Service Contract,Public Request for Proposals,Baker Lake,Family Services,I Have A Chance Support Services Ltd.,01 April 2020,"$309,257.15"
Corcan Supplies,Purchase Order,Sole Source,Iqaluit,Family Services,Corcan,19 June 2014,"$309,479.00"
Residential Care,Service Contract,Sole Source,Baker Lake,Family Services,I Have a Chance Support Services Ltd.,29 March 2019,"$311,221.06"
"Operator, Elder's Centre",Consulting,Extension,Arviat,Family Services,Pimakslirvik Corporation,01 April 2016,"$311,943.32"
Specialized Residential Care,Consulting,Sole Source,Rankin Inlet,Family Services,Municipality of Rankin Inlet,01 April 2015,"$313,536.60"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,Bairn Croft Residential Services Inc.,01 April 2020,"$317,626.90"
Residential Care,Service Contract,Public Request for Proposals,Chesterfield Inlet,Family Services,Community Living Alternative Services Ltd,01 April 2014,"$317,739.80"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,10 May 2018,"$320,422.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Alliance Youth Services Inc.,14 May 2019,"$320,892.48"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Alliance Youth Services Inc.,01 April 2020,"$324,739.80"
Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Independent Advocacy 2010 Inc.,01 April 2020,"$325,392.40"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Alliance Youth Services Inc.,01 April 2019,"$325,630.20"
Residential Care,Consulting,Public Request for Proposals,Qikiqtaaluk Region,Family Services,Partners in Parenting Inc.,01 April 2017,"$328,260.00"
Foster Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Partners in Parenting Inc.,01 April 2018,"$328,863.00"
Residential Care,Consulting,Public Request for Proposals,Kinngait,Family Services,Bairn Croft Residential Services Inc.,29 March 2019,"$330,511.74"
Residential Care,Consulting,Public Request for Proposals,Kugaaruk,Family Services,March of Dimes Canada,01 April 2016,"$330,820.50"
Residential Care,Service Contract,Sole Source,Cambridge Bay,Family Services,March of Dimes Canada,01 April 2015,"$331,926.00"
Supported Independent Living Program,Service Contract,Extension,Rankin Inlet,Family Services,Municipality of Rankin Inlet,01 April 2013,"$340,442.00"
Residential Care,Service Contract,Sole Source,Chesterfield Inlet,Family Services,Community Living Alternative Services Ltd.,01 April 2015,"$340,684.00"
Specialized Residential Care,Consulting,Sole Source,Chesterfield Inlet,Family Services,Community Living Alternative Services Ltd.,01 April 2016,"$340,702.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Partners in Parenting Inc.,01 April 2017,"$340,780.00"
Residential Care,Service Contract,Public Request for Proposals,Naujaat,Family Services,March of Dimes Canada,01 April 2020,"$342,800.00"
Residential Care,Service Contract,Sole Source,Baker Lake,Family Services,Broken Arrow Residential Treatment Services,10 November 2018,"$343,830.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,01 April 2020,"$343,940.00"
Specialized Residential Care,Consulting,Sole Source,Baker Lake,Family Services,Community Living Alternative Services Ltd.,01 April 2017,"$346,111.00"
Residential Care,Consulting,Public Request for Proposals,Pond Inlet,Family Services,Partners in Parenting Inc.,13 March 2019,"$350,695.52"
Arviat Elder's Centre,Service Contract,Extension,Arviat,Family Services,Pimakslirvik Corporation,01 April 2014,"$351,043.11"
Residential Care,Service Contract,Sole Source,Baker Lake,Family Services,Bairn Croft Residential Services Inc.,01 April 2020,"$351,456.00"
Residential Care,Service Contract,Sole Source,Chesterfield Inlet,Family Services,Community Living Alternative Services Ltd.,01 April 2018,"$351,814.00"
Residential Care,Service Contract,Sole Source,Chesterfield Inlet,Family Services,Community Living Alternatives Services Ltd.,01 April 2020,"$352,646.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,01 April 2020,"$353,715.00"
Specialized Residential Treatment,Service Contract,Extension,Kugaaruk,Family Services,Quest Support Services Ltd.,01 April 2013,"$356,061.00"
Residential Care,Consulting,Public Request for Proposals,Pond Inlet,Family Services,March of Dimes Canada,01 April 2019,"$356,376.00"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,Bairn Croft Residential Services Inc.,01 April 2020,"$357,060.80"
Residential Care,Consulting,Public Request for Proposals,Qikiqtaaluk Region,Family Services,Partners in Parenting Inc.,15 March 2019,"$357,496.20"
Residential Care,Service Contract,Public Request for Proposals,Pond Inlet,Family Services,March of Dimes Canada,01 April 2020,"$357,615.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Alliance Youth Services Inc.,18 June 2018,"$357,929.18"
Specialized Residential Services,Consulting,Public Request for Proposals,Kivalliq Region,Family Services,6639977 Manitoba Ltd o/a The Massey Home,01 April 2017,"$358,697.50"
Residential Care,Service Contract,Public Request for Proposals,Rankin Inlet,Family Services,March of Dimes Canada,01 April 2020,"$360,663.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,I Have A Chance Support Services Ltd.,01 April 2020,"$361,685.75"
Residential Care,Service Contract,Sole Source,Taloyoak,Family Services,Ever Bright Complex Needs Support Services,16 July 2020,"$362,080.00"
Residential Care,Consulting,Public Request for Proposals,Kugaaruk,Family Services,Quest Support Services Inc.,01 April 2016,"$364,927.00"
Residential Care,Service Contract,Public Request for Proposals,Kugaaruk,Family Services,Quest Support Services Inc.,01 April 2014,"$364,927.00"
Residential Care,Consulting,Public Request for Proposals,Kugaaruk,Family Services,Quest Support Services Inc.,01 April 2015,"$365,927.00"
Children's Legal Services,Service Contract,Public Tender,Nunavut Territory,Family Services,Lawson Lundell Barristers,01 April 2013,"$368,800.00"
Residential Care,Consulting,Sole Source,Cambridge Bay,Family Services,I Have a Chance Support Services Ltd.,01 April 2018,"$369,477.95"
Residential Care,Consulting,Sole Source,Kitikmeot Region,Family Services,YWCA Edmonton,01 April 2017,"$374,630.53"
Specialized Residential Treatment,Service Contract,Sole Source,Arviat,Family Services,Alliance Youth Services Inc.,23 May 2018,"$375,030.20"
Apprentice Technical Training,Service Contract,Extension,Nunavut Territory,Family Services,Government of Alberta Advanced Ed & Tech,01 April 2014,"$377,000.00"
Residential Care,Consulting,Sole Source,Rankin Inlet,Family Services,Municipality of Rankin Inlet,01 April 2017,"$377,988.72"
Specialized Residential Care Treatment,Consulting,Sole Source,Rankin Inlet,Family Services,Hamlet of Rankin Inlet,01 April 2016,"$378,090.60"
Residential Care,Consulting,Public Request for Proposals,Qikiqtaaluk Region,Family Services,Partners in Parenting Inc.,01 April 2018,"$380,717.70"
Specialized Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Municipality of Rankin Inlet,01 April 2018,"$385,496.76"
Residential Care,Service Contract,Sole Source,Pangnirtung,Family Services,Options Youth Ontario Inc.,01 April 2020,"$387,702.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Quest Support Services Inc.,01 April 2020,"$388,807.86"
Residential Care,Consulting,Public Request for Proposals,Pangnirtung,Family Services,Options Youth (Ontario) Inc.,13 March 2019,"$389,362.00"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Hamlet of Rankin Inlet,01 April 2019,"$393,156.08"
Residential Care,Consulting,Public Request for Proposals,Qikiqtaaluk Region,Family Services,Bairn Croft Residential Services Inc.,01 April 2017,"$395,318.60"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Municipality of Rankin Inlet,01 April 2014,"$399,641.00"
Residential Care,Service Contract,Sole Source,Baker Lake,Family Services,Darlene Leggett,01 April 2020,"$399,900.00"
